背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,出塁率,長打率,OPS,year,team
0,木村拓也,両,.264,113,338,311,26,82,8,9.8,15,2,2,1-1-0,107,29,64,17,2,3,5,2,4,4,50.0,3,0,6,.306,.344,.650,2007,G
2,小笠原道大,左,.313,142,617,566,95,177,9,5.1,33,1,31,20-7-0,305,88,98,43,5,4,0,4,4,0,100.0,11,0,10,.363,.539,.902,2007,G
5,ゴンザレス,右,.247,25,79,73,9,18,1,5.6,4,0,3,3-0-0,31,12,16,2,0,3,0,1,0,0,-,1,0,5,.291,.425,.716,2007,G
6,小坂誠,左,.125,56,31,24,13,3,0,0.0,1,1,0,-,6,3,8,4,0,1,1,1,2,0,100.0,1,0,0,.267,.250,.517,2007,G
7,二岡智宏,右,.295,139,562,508,68,150,8,5.3,22,0,20,11-8-0,232,83,91,34,2,7,10,3,1,2,33.3,9,0,15,.346,.457,.803,2007,G
8,谷佳知,右,.318,141,595,541,63,172,13,7.6,31,0,10,8-2-0,233,53,48,30,0,3,20,1,10,2,83.3,1,0,10,.357,.431,.787,2007,G
9,清水隆行,左,.339,66,129,112,17,38,6,15.8,3,0,3,2-1-0,50,14,13,14,1,1,2,0,0,0,-,0,0,3,.417,.446,.864,2007,G
10,阿部慎之助,左,.275,140,580,499,72,137,7,5.1,20,0,33,19-7-1,256,101,76,57,7,11,3,10,1,2,33.3,8,8,17,.355,.513,.868,2007,G
12,鈴木尚広,両,.297,96,124,111,36,33,8,24.2,3,2,0,-,40,10,25,8,1,1,3,1,18,4,81.8,0,0,2,.347,.360,.707,2007,G
23,脇谷亮太,左,.282,91,188,177,28,50,8,16.0,6,5,1,1-0-0,69,14,30,5,1,3,3,0,8,1,88.9,3,0,3,.314,.390,.703,2007,G
24,高橋由伸,左,.308,133,590,503,76,155,12,7.7,29,1,35,17-11-0,291,88,107,66,6,16,3,2,1,5,16.7,1,0,3,.404,.579,.982,2007,G
25,李承燁,左,.274,137,583,541,84,148,10,6.8,29,2,30,17-10-0,271,74,119,38,0,1,2,1,4,3,57.1,5,0,8,.322,.501,.823,2007,G
31,小関竜也,左,.250,5,4,4,2,1,0,0.0,0,0,1,0-1-0,4,2,1,0,0,0,0,0,0,0,-,0,0,0,.250,1.000,1.250,2007,G
35,亀井義行,左,.158,20,23,19,3,3,1,33.3,1,0,1,1-0-0,7,3,7,3,0,0,0,1,1,0,100.0,0,0,0,.261,.368,.629,2007,G
36,岩舘学,左,.250,5,5,4,0,1,0,0.0,1,0,0,-,2,0,0,0,0,0,1,0,0,0,-,0,0,0,.250,.500,.750,2007,G
40,村田善則,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2007,G
44,大道典嘉,右,.306,42,43,36,5,11,1,9.1,3,0,1,1-0-0,17,1,7,6,0,0,1,0,0,0,-,0,0,2,.405,.472,.877,2007,G
45,小田嶋正邦,右,.190,16,25,21,0,4,0,0.0,1,0,0,-,5,1,6,4,1,0,0,0,0,0,-,0,0,0,.320,.238,.558,2007,G
48,矢野謙次,右,.291,103,178,158,28,46,4,8.7,14,2,7,6-1-0,85,29,32,9,1,7,3,1,1,2,33.3,0,0,2,.354,.538,.892,2007,G
49,ホリンズ,右,.257,124,407,370,43,95,4,4.2,23,1,12,11-1-0,156,45,85,33,4,1,1,2,2,2,50.0,2,0,10,.318,.422,.739,2007,G
51,古城茂幸,左,.191,71,80,68,13,13,3,23.1,3,0,0,-,16,5,13,7,0,0,5,0,5,4,55.6,0,0,1,.267,.235,.502,2007,G
53,實松一成,右,.000,4,4,4,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2007,G
54,三浦貴,右,.000,4,1,1,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2007,G
56,加藤健,右,.190,28,25,21,2,4,1,25.0,0,0,1,1-0-0,7,7,4,2,0,0,0,2,0,0,-,0,0,3,.240,.333,.573,2007,G
61,坂本勇人,右,.333,4,3,3,1,1,0,0.0,0,0,0,-,1,2,0,0,0,0,0,0,1,0,100.0,0,0,0,.333,.333,.667,2007,G
11,久保裕也,右,.067,13,20,15,1,1,0,0.0,1,0,0,-,2,0,7,0,0,0,5,0,0,0,-,0,0,0,.067,.133,.200,2007,G
13,林昌範,左,-,41,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2007,G
17,姜建銘,右,.143,17,9,7,0,1,0,0.0,0,0,0,-,1,0,0,1,0,0,1,0,0,0,-,1,0,0,.250,.143,.393,2007,G
19,上原浩治,右,.000,55,3,3,0,0,0,-,0,0,0,-,0,0,3,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2007,G
20,豊田清,右,.000,47,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2007,G
21,高橋尚成,左,.078,28,60,51,3,4,0,0.0,1,0,0,-,5,3,29,2,0,0,7,0,0,0,-,1,0,2,.113,.098,.211,2007,G
22,福田聡志,右,.000,15,19,14,0,0,0,-,0,0,0,-,0,0,9,0,0,0,5,0,0,0,-,0,0,0,.000,.000,.000,2007,G
26,内海哲也,左,.056,28,63,54,3,3,0,0.0,0,0,0,-,3,2,35,3,0,1,5,0,0,0,-,0,0,0,.121,.056,.176,2007,G
27,門倉健,右,.000,12,10,9,0,0,0,-,0,0,0,-,0,0,7,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,2007,G
28,金刃憲人,左,.121,22,42,33,1,4,0,0.0,0,0,0,-,4,1,10,2,0,0,7,0,0,0,-,3,0,0,.171,.121,.293,2007,G
29,前田幸長,左,-,15,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2007,G
30,西村健太朗,右,.000,57,3,2,0,0,0,-,0,0,0,-,0,0,2,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,2007,G
33,野間口貴彦,右,.000,7,8,8,0,0,0,-,0,0,0,-,0,0,6,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2007,G
39,吉武真太郎,右,-,16,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2007,G
41,木佐貫洋,右,.047,26,47,43,0,2,0,0.0,1,0,0,-,3,0,22,0,0,0,4,0,0,0,-,2,0,1,.047,.070,.116,2007,G
42,パウエル,右,.077,7,15,13,0,1,0,0.0,0,0,0,-,1,1,11,0,0,0,2,0,0,0,-,1,0,0,.077,.077,.154,2007,G
43,真田裕貴,右,-,17,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2007,G
46,野口茂樹,左,.500,31,2,2,0,1,0,0.0,0,0,0,-,1,1,1,0,0,0,0,0,0,0,-,0,0,0,.500,.500,1.000,2007,G
57,三木均,右,-,4,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2007,G
60,深田拓也,左,-,7,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2007,G
63,会田有志,右,1.000,34,1,1,0,1,1,100.0,0,0,0,-,1,0,0,0,0,0,0,0,0,0,-,0,0,0,1.000,1.000,2.000,2007,G
90,深町亮介,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2007,G
91,オビスポ,右,-,2,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2007,G
93,東野峻,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2007,G
94,ＧＧ,右,.500,5,3,2,0,1,0,0.0,0,0,0,-,1,0,1,0,0,0,1,0,0,0,-,0,0,0,.500,.500,1.000,2007,G
99,山口鉄也,左,-,32,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,.000,2007,G
00,寺内崇幸,右,.301,62,80,73,18,22,4,18.2,3,1,0,-,27,3,18,4,0,1,2,0,6,4,60.0,3,0,0,.346,.370,.716,2008,G
0,木村拓也,両,.293,124,432,372,46,109,10,9.2,21,0,7,5-2-0,151,31,61,27,1,5,26,2,1,3,25.0,8,0,3,.347,.406,.753,2008,G
2,小笠原道大,左,.310,144,589,520,93,161,10,6.2,27,1,36,28-5-1,298,96,105,56,8,7,1,5,0,2,0.0,9,0,14,.381,.573,.954,2008,G
5,ラミレス,右,.319,144,600,548,84,175,8,4.6,28,0,45,32-8-0,338,125,90,39,9,10,0,3,1,0,100.0,4,0,20,.373,.617,.990,2008,G
6,小坂誠,左,.000,13,7,7,1,0,0,-,0,0,0,-,0,0,2,0,0,0,0,0,1,0,100.0,0,0,0,.000,.000,.000,2008,G
7,二岡智宏,右,.279,31,98,86,7,24,5,20.8,3,0,1,0-1-0,30,7,24,9,0,1,1,1,0,2,0.0,6,0,0,.351,.349,.699,2008,G
8,谷佳知,右,.295,120,373,349,33,103,6,5.8,17,0,10,8-2-0,150,45,43,17,0,1,6,0,5,1,83.3,2,0,6,.330,.430,.760,2008,G
9,清水隆行,左,.143,41,51,42,3,6,1,16.7,0,0,0,-,6,2,10,7,2,0,1,1,0,0,-,1,0,1,.260,.143,.403,2008,G
10,阿部慎之助,左,.271,125,484,428,60,116,3,2.6,27,0,24,17-6-0,215,67,66,44,5,8,4,0,1,1,50.0,4,4,17,.350,.502,.852,2008,G
12,鈴木尚広,両,.304,105,270,247,56,75,12,16.0,9,4,3,3-0-0,101,17,43,17,0,3,2,1,30,5,85.7,1,0,0,.354,.409,.763,2008,G
23,脇谷亮太,左,.208,56,130,120,15,25,5,20.0,5,2,1,1-0-0,37,8,32,7,0,0,3,0,4,2,66.7,3,0,0,.252,.308,.560,2008,G
24,高橋由伸,左,.236,91,311,275,38,65,3,4.6,11,0,17,9-5-1,127,41,76,30,3,5,0,1,1,0,100.0,2,0,3,.322,.462,.783,2008,G
25,李承燁,左,.248,45,170,153,21,38,6,15.8,4,0,8,6-0-0,66,27,37,11,0,6,0,0,1,0,100.0,0,0,3,.324,.431,.755,2008,G
32,円谷英俊,左,.000,6,2,2,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2008,G
35,亀井義行,左,.268,96,298,276,41,74,5,6.8,21,3,5,3-1-0,116,23,43,14,0,3,5,0,7,5,58.3,2,0,5,.311,.420,.731,2008,G
40,村田善則,右,.000,4,7,4,0,0,0,-,0,0,0,-,0,0,1,1,1,0,2,0,0,0,-,0,1,0,.200,.000,.200,2008,G
43,鶴岡一成,右,.167,31,56,48,4,8,2,25.0,2,0,2,1-1-0,16,6,12,6,0,0,2,0,0,0,-,0,1,2,.259,.333,.593,2008,G
44,大道典嘉,右,.274,60,69,62,2,17,0,0.0,7,0,2,2-0-0,30,16,8,4,0,1,1,1,0,0,-,0,0,3,.324,.484,.807,2008,G
45,小田嶋正邦,右,.000,4,5,5,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,1,.000,.000,.000,2008,G
48,矢野謙次,右,.000,3,8,5,0,0,0,-,0,0,0,-,0,0,0,2,0,0,1,0,0,1,0.0,0,0,1,.286,.000,.286,2008,G
49,ゴンザレス,右,.307,32,128,114,15,35,3,8.6,7,0,2,1-1-0,48,17,19,7,0,3,2,2,0,0,-,1,0,2,.357,.421,.778,2008,G
50,加治前竜一,右,.229,35,39,35,3,8,0,0.0,1,0,2,1-1-0,15,2,12,2,0,0,2,0,1,1,50.0,2,0,0,.270,.429,.699,2008,G
51,古城茂幸,左,.214,83,182,159,16,34,6,17.6,8,0,3,2-1-0,51,16,32,8,1,5,8,2,6,5,54.5,7,0,3,.270,.321,.591,2008,G
52,岩舘学,左,.258,17,36,31,3,8,0,0.0,3,0,0,-,11,5,7,3,0,1,1,0,0,0,-,2,0,1,.343,.355,.698,2008,G
53,實松一成,右,.200,7,6,5,0,1,0,0.0,0,0,0,-,1,0,3,0,0,0,1,0,0,0,-,0,0,0,.200,.200,.400,2008,G
56,加藤健,右,.194,28,38,36,2,7,0,0.0,1,0,1,0-1-0,11,3,9,1,0,0,1,0,0,0,-,2,0,1,.216,.306,.522,2008,G
61,坂本勇人,右,.257,144,567,521,59,134,10,7.5,24,1,8,7-0-1,184,43,98,28,3,2,15,1,10,5,66.7,15,0,2,.297,.353,.650,2008,G
64,松本哲也,左,.000,3,1,1,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,1,0,100.0,0,0,0,.000,.000,.000,2008,G
66,田中大二郎,左,.000,1,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2008,G
99,隠善智也,左,.290,36,63,62,4,18,6,33.3,2,0,0,-,20,4,19,1,0,0,0,0,2,1,66.7,1,0,1,.302,.323,.624,2008,G
11,久保裕也,右,.333,6,6,6,1,2,0,0.0,1,0,0,-,3,0,2,0,0,0,0,0,0,0,-,0,0,0,.333,.500,.833,2008,G
13,林昌範,左,-,11,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2008,G
19,上原浩治,右,.130,26,27,23,0,3,1,33.3,0,0,0,-,3,0,5,0,0,0,4,0,0,0,-,0,0,3,.130,.130,.261,2008,G
20,豊田清,右,-,50,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2008,G
21,高橋尚成,左,.143,23,44,35,3,5,0,0.0,2,0,0,-,7,2,16,1,0,0,8,0,0,0,-,0,0,0,.167,.200,.367,2008,G
22,福田聡志,右,-,2,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2008,G
26,内海哲也,左,.083,29,61,60,1,5,1,20.0,0,0,0,-,5,1,30,0,0,0,1,0,0,0,-,1,0,0,.083,.083,.167,2008,G
27,門倉健,右,-,11,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2008,G
28,金刃憲人,左,.000,8,6,6,0,0,0,-,0,0,0,-,0,0,2,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2008,G
29,グライシンガー,右,.097,32,69,62,0,6,0,0.0,0,0,0,-,6,1,33,0,0,0,7,0,0,0,-,3,0,1,.097,.097,.194,2008,G
30,西村健太朗,右,.000,43,3,3,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2008,G
31,バーンサイド,左,.059,15,21,17,0,1,0,0.0,0,0,0,-,1,1,7,0,0,0,4,0,0,0,-,0,0,0,.059,.059,.118,2008,G
33,野間口貴彦,右,.333,18,6,6,2,2,2,100.0,0,0,0,-,2,1,4,0,0,0,0,0,0,0,-,1,0,0,.333,.333,.667,2008,G
37,藤田宗一,左,-,39,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,2,0,0,-,-,.000,2008,G
39,吉武真太郎,右,-,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2008,G
41,木佐貫洋,右,.038,14,26,26,0,1,0,0.0,0,0,0,-,1,0,11,0,0,0,0,0,0,0,-,0,0,0,.038,.038,.077,2008,G
42,クルーン,右,-,61,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,.000,2008,G
47,山口鉄也,左,.200,67,6,5,0,1,0,0.0,0,0,0,-,1,0,4,0,0,0,1,0,0,0,-,0,0,0,.200,.200,.400,2008,G
62,越智大祐,右,.000,68,2,2,0,0,0,-,0,0,0,-,0,0,2,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2008,G
63,会田有志,右,-,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2008,G
68,栂野雅史,右,.000,13,3,3,0,0,0,-,0,0,0,-,0,0,2,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2008,G
93,東野峻,右,.000,28,10,9,0,0,0,-,0,0,0,-,0,0,5,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,2008,G
00,寺内崇幸,右,.167,78,92,84,7,14,1,7.1,2,0,1,1-0-0,19,1,22,2,0,2,4,0,2,0,100.0,1,0,2,.205,.226,.431,2009,G
0,木村拓也,両,.231,86,210,186,17,43,3,7.0,8,0,2,1-1-0,57,16,38,12,0,2,8,2,1,0,100.0,3,0,2,.282,.306,.589,2009,G
2,小笠原道大,左,.309,139,580,514,78,159,7,4.4,25,1,31,21-5-1,279,107,107,60,2,4,0,2,2,1,66.7,10,0,8,.384,.543,.927,2009,G
5,ラミレス,右,.322,144,608,577,66,186,7,3.8,35,0,31,22-8-0,314,103,88,21,4,4,0,6,4,3,57.1,6,0,12,.347,.544,.891,2009,G
6,坂本勇人,右,.306,141,640,581,87,178,9,5.1,33,3,18,13-3-1,271,62,101,44,3,4,7,4,5,3,62.5,19,0,8,.357,.466,.823,2009,G
8,谷佳知,右,.331,101,316,287,35,95,5,5.3,23,1,11,6-3-0,153,48,44,22,1,3,3,1,3,1,75.0,3,0,4,.383,.533,.916,2009,G
9,亀井義行,左,.290,134,547,490,79,142,11,7.7,25,4,25,15-7-1,250,71,74,45,3,5,4,3,12,7,63.2,5,0,7,.354,.510,.864,2009,G
10,阿部慎之助,左,.293,123,462,409,63,120,1,0.8,20,2,32,20-8-1,240,76,87,34,0,10,2,7,1,1,50.0,4,5,9,.357,.587,.943,2009,G
12,鈴木尚広,両,.262,122,220,202,40,53,6,11.3,5,1,1,0-0-1,63,8,44,13,0,3,2,0,25,7,78.1,0,0,1,.317,.312,.628,2009,G
13,アルフォンゾ,右,.146,21,46,41,3,6,1,16.7,0,0,2,1-1-0,12,4,10,4,0,0,0,1,0,0,-,0,0,1,.217,.293,.510,2009,G
23,脇谷亮太,左,.268,89,245,231,26,62,7,11.3,7,2,2,2-0-0,79,16,52,10,1,3,1,0,5,3,62.5,5,0,0,.307,.342,.649,2009,G
24,高橋由伸,左,.000,1,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2009,G
25,李承燁,左,.229,77,257,223,33,51,3,5.9,9,0,16,7-5-1,108,36,65,28,4,5,0,1,1,2,33.3,3,0,1,.327,.484,.811,2009,G
32,円谷英俊,左,.500,1,2,2,1,1,0,0.0,0,0,1,1-0-0,4,4,0,0,0,0,0,0,0,0,-,0,0,0,.500,2.000,2.500,2009,G
35,工藤隆人,左,.255,49,56,51,12,13,3,23.1,2,1,0,-,17,1,18,2,0,1,2,0,1,0,100.0,0,0,0,.296,.333,.630,2009,G
40,加藤健,右,.200,12,13,10,2,2,0,0.0,1,0,0,-,3,0,3,1,0,2,0,0,0,0,-,0,0,0,.385,.300,.685,2009,G
43,鶴岡一成,右,.261,59,160,142,17,37,3,8.1,10,0,5,4-0-0,62,18,30,8,3,1,8,1,1,0,100.0,1,3,4,.303,.437,.739,2009,G
44,大道典嘉,右,.257,37,38,35,1,9,2,22.2,1,0,0,-,10,3,9,2,0,0,1,0,0,0,-,0,0,1,.297,.286,.583,2009,G
45,小田嶋正邦,右,.190,10,21,21,1,4,0,0.0,0,0,1,1-0-0,7,3,5,0,0,0,0,0,0,0,-,1,0,0,.190,.333,.524,2009,G
48,矢野謙次,右,.111,6,9,9,0,1,1,100.0,0,0,0,-,1,0,1,0,0,0,0,0,0,0,-,0,0,1,.111,.111,.222,2009,G
50,加治前竜一,右,.000,14,7,7,0,0,0,-,0,0,0,-,0,0,3,0,0,0,0,0,0,1,0.0,0,0,0,.000,.000,.000,2009,G
51,古城茂幸,左,.251,77,204,179,14,45,4,8.9,5,1,2,2-0-0,58,18,39,10,2,10,3,2,3,3,50.0,5,0,2,.323,.324,.647,2009,G
52,岩舘学,左,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2009,G
55,大田泰示,右,.000,3,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2009,G
58,星孝典,右,.000,9,5,5,0,0,0,-,0,0,0,-,0,0,2,0,0,0,0,0,0,0,-,0,1,0,.000,.000,.000,2009,G
61,中井大介,右,.233,18,33,30,2,7,1,14.3,2,0,1,1-0-0,12,6,11,0,0,0,2,1,2,0,100.0,3,0,0,.226,.400,.626,2009,G
64,松本哲也,左,.293,129,424,372,55,109,23,21.1,11,1,0,-,122,15,59,21,0,4,27,0,16,9,64.0,2,0,8,.338,.328,.665,2009,G
66,田中大二郎,左,.083,5,14,12,0,1,1,100.0,0,0,0,-,1,0,1,1,1,1,0,0,0,0,-,2,0,0,.214,.083,.298,2009,G
69,隠善智也,左,.000,3,2,2,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2009,G
11,久保裕也,右,.000,7,9,8,0,0,0,-,0,0,0,-,0,0,4,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,2009,G
17,東野峻,右,.091,27,51,44,1,4,0,0.0,1,0,0,-,5,0,20,0,0,0,7,0,0,0,-,0,0,0,.091,.114,.205,2009,G
20,豊田清,右,-,46,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2009,G
21,高橋尚成,左,.128,25,53,39,3,5,1,20.0,0,0,0,-,5,0,18,3,0,0,11,0,0,0,-,1,0,0,.190,.128,.319,2009,G
22,越智大祐,右,.000,66,3,3,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2009,G
26,内海哲也,左,.100,27,54,50,2,5,0,0.0,0,0,0,-,5,1,24,2,0,0,2,0,0,0,-,1,0,0,.135,.100,.235,2009,G
28,金刃憲人,左,-,6,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2009,G
29,グライシンガー,右,.125,25,58,48,1,6,0,0.0,1,0,0,-,7,2,23,2,0,0,8,0,0,0,-,4,0,0,.160,.146,.306,2009,G
30,西村健太朗,右,-,11,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,.000,2009,G
33,野間口貴彦,右,.000,25,3,2,0,0,0,-,0,0,0,-,0,0,2,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,2009,G
36,Ｍ．中村,右,.000,29,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2009,G
37,藤田宗一,左,-,20,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2009,G
41,木佐貫洋,右,.000,1,1,1,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2009,G
42,クルーン,右,-,46,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2009,G
47,山口鉄也,左,.000,73,4,3,0,0,0,-,0,0,0,-,0,0,1,1,0,0,0,0,0,0,-,2,0,0,.250,.000,.250,2009,G
49,ゴンザレス,右,.260,23,58,50,3,13,1,7.7,1,0,0,-,14,6,13,1,0,0,7,0,0,0,-,2,0,0,.275,.280,.555,2009,G
57,古川祐樹,左,-,6,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2009,G
59,福田聡志,右,.063,9,16,16,1,1,0,0.0,0,0,0,-,1,0,9,0,0,0,0,0,0,0,-,0,0,0,.063,.063,.125,2009,G
60,深田拓也,左,-,8,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,.000,2009,G
68,栂野雅史,右,.000,5,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2009,G
91,オビスポ,右,.105,14,21,19,0,2,1,50.0,1,0,0,-,3,1,9,0,0,0,2,0,0,0,-,0,0,0,.105,.158,.263,2009,G
92,木村正太,右,.500,25,3,2,0,1,0,0.0,0,0,0,-,1,0,1,0,0,0,1,0,0,0,-,0,0,0,.500,.500,1.000,2009,G
00,寺内崇幸,右,.000,31,9,8,3,0,0,-,0,0,0,-,0,0,4,0,0,0,1,0,0,0,-,1,0,0,.000,.000,.000,2010,G
0,工藤隆人,左,.231,40,30,26,3,6,2,33.3,0,0,0,-,6,2,11,0,0,4,0,0,0,0,-,0,0,0,.333,.231,.564,2010,G
2,小笠原道大,左,.308,137,591,510,83,157,16,10.2,24,1,34,27-7-0,285,90,101,73,2,3,0,5,1,0,100.0,17,0,9,.394,.559,.953,2010,G
5,ラミレス,右,.304,144,606,566,93,172,10,5.8,28,0,49,33-9-0,347,129,98,21,1,12,0,7,1,2,33.3,4,0,14,.338,.613,.951,2010,G
6,坂本勇人,右,.281,144,676,609,107,171,19,11.1,35,4,31,20-9-0,307,85,83,47,2,3,10,7,14,4,77.8,21,0,6,.332,.504,.836,2010,G
7,長野久義,右,.288,128,459,430,66,124,15,12.1,24,3,19,14-4-0,211,52,72,25,4,2,2,0,12,4,75.0,5,0,10,.330,.491,.821,2010,G
8,谷佳知,右,.239,84,195,176,16,42,5,11.9,6,0,2,1-1-0,54,10,32,13,1,1,4,1,2,3,40.0,1,0,4,.293,.307,.600,2010,G
9,亀井義行,左,.185,71,220,205,22,38,3,7.9,13,0,5,3-1-0,66,17,38,9,0,3,1,2,4,2,66.7,1,0,4,.228,.322,.550,2010,G
10,阿部慎之助,左,.281,140,569,498,85,140,5,3.6,27,2,44,28-12-0,303,92,91,58,3,11,1,1,0,0,-,3,7,8,.368,.608,.976,2010,G
12,鈴木尚広,両,.280,61,26,25,15,7,2,28.6,0,0,0,-,7,4,9,1,0,0,0,0,10,5,66.7,0,0,1,.308,.280,.588,2010,G
23,脇谷亮太,左,.273,132,459,414,65,113,17,15.0,14,8,7,5-2-0,164,43,80,35,4,3,6,1,28,5,84.8,7,0,5,.333,.396,.729,2010,G
24,高橋由伸,左,.268,116,332,280,30,75,4,5.3,9,0,13,10-0-0,123,56,75,44,1,2,0,6,2,0,100.0,4,0,6,.364,.439,.804,2010,G
25,李承燁,左,.163,56,108,92,13,15,1,6.7,1,0,5,3-2-0,31,11,26,12,0,3,1,0,1,0,100.0,2,0,0,.280,.337,.617,2010,G
27,市川友也,右,.000,3,2,2,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2010,G
31,松本哲也,左,.287,94,350,317,49,91,13,14.3,13,2,0,-,108,22,56,17,0,4,12,0,17,4,81.0,1,0,4,.331,.341,.672,2010,G
38,エドガー,右,.263,100,327,289,26,76,5,6.6,18,1,12,8-4-0,132,44,67,34,3,1,2,1,2,2,50.0,9,0,7,.342,.457,.798,2010,G
40,加藤健,右,.000,4,3,3,1,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,2010,G
43,鶴岡一成,右,.229,32,43,35,4,8,1,12.5,1,0,0,-,9,0,8,3,1,2,3,0,0,0,-,0,1,2,.325,.257,.582,2010,G
